"metric_id","scenario_year","subject_source","comparison_source","metric_name","metric_value","numerator_value","denominator_value","unit","note","calculated_at"
"3161","2024","GHAD","NVD","completeness_score","86.552111","32348.8515","37375","percent","source-specific completeness","5/5/2026 16:32:08"
"3162","2024","GHAD","NVD","coverage_vs_nvd","95.658518","37369","39065","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3163","2024","GHAD","NVD","accuracy_structural_score","89.415895","33216.48486","37148.3","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3164","2024","GHAD","NVD","prioritisation_avg_delta_vs_nvd","0.06","1.8","30","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3165","2025","AVD","NVD","tte_mean","10150.171016","448109750","44148","seconds","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3166","2025","AVD","NVD","completeness_score","98.07117","43296.460317","44148","percent","source-specific completeness","5/5/2026 16:32:08"
"3167","2025","AVD","NVD","coverage_vs_nvd","100","44148","44148","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3168","2025","AVD","NVD","accuracy_structural_score","95.633471","72518","75829.1","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3169","2025","AVD","NVD","prioritisation_avg_delta_vs_nvd","0.813333","21.96","27","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3170","2025","JVN","NVD","tte_mean","45.013531","1157748.014074","25720","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3171","2025","JVN","NVD","completeness_score","92.218028","23996.053","26021","percent","source-specific completeness","5/5/2026 16:32:08"
"3172","2025","JVN","NVD","coverage_vs_nvd","58.89508","26001","44148","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3173","2025","JVN","NVD","accuracy_structural_score","78.978634","22255.507706","28179.15","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3174","2025","JVN","NVD","prioritisation_avg_delta_vs_nvd","0.242105","4.6","19","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3175","2025","EUVD","NVD","tte_mean","2.065387","1594.478935","772","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3176","2025","EUVD","NVD","completeness_score","75.55","17296.417","22894","percent","source-specific completeness","5/5/2026 16:32:08"
"3177","2025","EUVD","NVD","coverage_vs_nvd","51.843798","22888","44148","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3178","2025","EUVD","NVD","accuracy_structural_score","83.353879","12742.5575","15287.3","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3179","2025","EUVD","NVD","prioritisation_avg_delta_vs_nvd","-0.705263","-13.4","19","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
"3180","2025","GHAD","NVD","tte_mean","1.827345","6426.772106","3517","days","AVD: published_at-created_at from database; external: source_published-nvd_published; negative external gaps are excluded","5/5/2026 16:32:08"
"3181","2025","GHAD","NVD","completeness_score","85.062911","35905.9055","42211","percent","source-specific completeness","5/5/2026 16:32:08"
"3182","2025","GHAD","NVD","coverage_vs_nvd","95.585304","42199","44148","percent","NVD baseline coverage","5/5/2026 16:32:08"
"3183","2025","GHAD","NVD","accuracy_structural_score","89.237285","35905.067748","40235.5","percent","non-null field accuracy against NVD baseline + source-specific consistency checks","5/5/2026 16:32:08"
"3184","2025","GHAD","NVD","prioritisation_avg_delta_vs_nvd","0","0","26","score","AU CVEs only: source_score - NVD base_score","5/5/2026 16:32:08"
